time,rflux,flux,
1329.2789, 1.0002509, 0.99996639,
1329.2803, 1.0002515, 0.99996692,
1329.2817, 1.0003601, 1.0000755,
1329.2830, 1.0002693, 0.99998477,
1329.2844, 1.0003003, 1.0000155,
1329.2858, 1.0002166, 0.99993187,
1329.2872, 1.0002612, 0.99997645,
1329.2886, 1.0001467, 0.99986187,
1329.2900, 1.0004647, 1.0001798,
1329.2914, 1.0001295, 0.99984477,
1329.2928, 1.0004073, 1.0001223,
1329.2942, 1.0003856, 1.0001006,
1329.2955, 1.0003391, 1.0000541,
1329.2969, 1.0004451, 1.0001601,
1329.2983, 1.0001650, 0.99987986,
1329.2997, 1.0003097, 1.0000246,
1329.3011, 1.0003289, 1.0000438,
1329.3025, 1.0002202, 0.99993511,
1329.3039, 1.0002432, 0.99995796,
1329.3053, 1.0003176, 1.0000323,
1329.3067, 1.0002020, 0.99991663,
1329.3080, 1.0001866, 0.99990121,
1329.3094, 1.0001113, 0.99982613,
1329.3122, 1.0002562, 0.99997066,
1329.3136, 1.0002219, 0.99993636,
1329.3150, 1.0004579, 1.0001724,
1329.3164, 1.0002465, 0.99996111,
1329.3178, 1.0002460, 0.99996039,
1329.3192, 1.0003437, 1.0000580,
1329.3205, 1.0004257, 1.0001400,
1329.3219, 1.0005444, 1.0002587,
1329.3233, 1.0003462, 1.0000606,
1329.3247, 1.0003018, 1.0000161,
1329.3261, 1.0004104, 1.0001247,
1329.3275, 1.0004522, 1.0001665,
1329.3289, 1.0002720, 0.99998627,
1329.3303, 1.0005363, 1.0002505,
1329.3317, 1.0001561, 0.99987042,
1329.3330, 1.0003717, 1.0000860,
1329.3344, 1.0003124, 1.0000266,
1329.3358, 1.0004300, 1.0001442,
1329.3372, 1.0006674, 1.0003814,
1329.3386, 1.0001372, 0.99985135,
1329.3400, 1.0004047, 1.0001188,
1329.3414, 1.0001182, 0.99983237,
1329.3428, 1.0003485, 1.0000626,
1329.3442, 1.0003069, 1.0000209,
1329.3455, 1.0003807, 1.0000949,
1329.3469, 1.0004443, 1.0001583,
1329.3483, 1.0006180, 1.0003320,
1329.3497, 1.0000420, 0.99975617,
1329.3511, 1.0003431, 1.0000572,
1329.3525, 1.0001711, 0.99988532,
1329.3539, 1.0004613, 1.0001753,
1329.3553, 1.0002970, 1.0000110,
1329.3567, 1.0002996, 1.0000136,
1329.3580, 1.0003158, 1.0000299,
1329.3594, 1.0003135, 1.0000278,
1329.3608, 1.0004721, 1.0001861,
1329.3622, 1.0004829, 1.0001970,
1329.3636, 1.0003064, 1.0000205,
1329.3650, 1.0005791, 1.0002930,
1329.3664, 1.0003153, 1.0000294,
1329.3678, 0.99986661, 0.99958087,
1329.3692, 1.0002304, 0.99994452,
1329.3705, 1.0002178, 0.99993207,
1329.3719, 1.0003129, 1.0000271,
1329.3733, 1.0003456, 1.0000597,
1329.3747, 1.0003569, 1.0000712,
1329.3761, 1.0000544, 0.99976871,
1329.3775, 1.0000547, 0.99976902,
1329.3789, 1.0003527, 1.0000669,
1329.3803, 1.0001679, 0.99988231,
1329.3817, 1.0003016, 1.0000159,
1329.3830, 1.0003030, 1.0000173,
1329.3844, 1.0004535, 1.0001679,
1329.3858, 1.0004109, 1.0001253,
1329.3872, 1.0004035, 1.0001180,
1329.3900, 1.0002549, 0.99996941,
1329.3914, 1.0002159, 0.99993039,
1329.3928, 1.0003656, 1.0000801,
1329.3942, 1.0003958, 1.0001104,
1329.3955, 1.0002442, 0.99995883,
1329.3969, 1.0000962, 0.99981087,
1329.3983, 1.0004085, 1.0001232,
1329.3997, 1.0001529, 0.99986763,
1329.4011, 1.0005191, 1.0002339,
1329.4025, 1.0002144, 0.99992924,
1329.4039, 1.0002233, 0.99993815,
1329.4053, 1.0003075, 1.0000224,
1329.4067, 1.0001677, 0.99988275,
1329.4080, 1.0003083, 1.0000234,
1329.4094, 1.0001932, 0.99990827,
1329.4108, 1.0001255, 0.99984063,
1329.4122, 1.0002757, 0.99999094,
1329.4136, 1.0004194, 1.0001347,
1329.4150, 1.0003709, 1.0000862,
1329.4164, 1.0004422, 1.0001574,
1329.4178, 1.0002376, 0.99995303,
1329.4192, 1.0003137, 1.0000293,
1329.4205, 1.0003837, 1.0000992,
1329.4219, 1.0000697, 0.99978534,
1329.4233, 1.0004842, 1.0002000,
1329.4247, 1.0001351, 0.99985095,
1329.4261, 1.0003811, 1.0000969,
1329.4275, 1.0002590, 0.99997484,
1329.4289, 1.0001885, 0.99990447,
1329.4303, 1.0004013, 1.0001173,
1329.4317, 1.0003907, 1.0001067,
1329.4330, 1.0002667, 0.99998294,
1329.4358, 1.0002712, 0.99998744,
1329.4372, 1.0001893, 0.99990587,
1329.4386, 1.0002274, 0.99994401,
1329.4400, 1.0000221, 0.99973876,
1329.4414, 1.0001977, 0.99991450,
1329.4428, 1.0001923, 0.99990924,
1329.4442, 1.0003349, 1.0000518,
1329.4455, 1.0004806, 1.0001977,
1329.4469, 1.0001150, 0.99983244,
1329.4483, 1.0001934, 0.99991065,
1329.4497, 1.0002848, 1.0000022,
1329.4511, 1.0000853, 0.99980296,
1329.4525, 1.0002061, 0.99992383,
1329.4539, 1.0004766, 1.0001943,
1329.4553, 0.99995097, 0.99966902,
1329.4567, 1.0002190, 0.99993697,
1329.4580, 1.0003316, 1.0000497,
1329.4594, 1.0004611, 1.0001793,
1329.4608, 1.0000613, 0.99977970,
1329.4622, 1.0002686, 0.99998720,
1329.4636, 1.0004155, 1.0001340,
1329.4650, 1.0003577, 1.0000764,
1329.4747, 1.0004913, 1.0002110,
1329.4761, 1.0002706, 0.99999034,
1329.4775, 1.0006025, 1.0003223,
1329.4789, 1.0003891, 1.0001093,
1329.4803, 1.0004222, 1.0001425,
1329.4817, 1.0003549, 1.0000752,
1329.4830, 1.0002954, 1.0000159,
1329.4844, 1.0002467, 0.99996753,
1329.4858, 1.0003213, 1.0000422,
1329.4872, 1.0003237, 1.0000449,
1329.4886, 1.0003348, 1.0000561,
1329.4900, 1.0001329, 0.99985439,
1329.4914, 1.0003493, 1.0000708,
1329.4928, 1.0003520, 1.0000737,
1329.4942, 1.0003163, 1.0000382,
1329.4955, 1.0001789, 0.99990117,
1329.4969, 1.0001088, 0.99983106,
1329.4983, 1.0002855, 1.0000080,
1329.4997, 1.0002549, 0.99997755,
1329.5011, 1.0002460, 0.99996894,
1329.5025, 1.0001740, 0.99989711,
1329.5039, 1.0002874, 1.0000106,
1329.5053, 1.0002338, 0.99995726,
1329.5067, 1.0002081, 0.99993182,
1329.5080, 1.0002655, 0.99998925,
1329.5094, 1.0004011, 1.0001252,
1329.5108, 1.0003746, 1.0000988,
1329.5122, 1.0003137, 1.0000383,
1329.5136, 1.0001013, 0.99982607,
1329.5150, 1.0004158, 1.0001406,
1329.5164, 1.0005590, 1.0002841,
1329.5178, 1.0004757, 1.0002010,
1329.5192, 1.0003188, 1.0000442,
1329.5205, 1.0000328, 0.99975872,
1329.5219, 1.0001474, 0.99987364,
1329.5233, 1.0000454, 0.99977167,
1329.5247, 1.0000703, 0.99979689,
1329.5275, 1.0000470, 0.99977405,
1329.5289, 1.0001098, 0.99983696,
1329.5303, 1.0004196, 1.0001469,
1329.5317, 1.0001205, 0.99984825,
1329.5330, 1.0003086, 1.0000364,
1329.5358, 1.0003615, 1.0000900,
1329.5372, 1.0003116, 1.0000402,
1329.5386, 1.0002828, 1.0000116,
1329.5400, 0.99999516, 0.99972439,
1329.5414, 1.0002478, 0.99997707,
1329.5428, 1.0001213, 0.99985084,
1329.5442, 1.0003321, 1.0000621,
1329.5455, 1.0002372, 0.99996741,
1329.5469, 1.0002813, 1.0000119,
1329.5483, 1.0003096, 1.0000403,
1329.5497, 1.0003737, 1.0001048,
1329.5511, 1.0002436, 0.99997517,
1329.5525, 1.0000766, 0.99980815,
1329.5539, 1.0004008, 1.0001324,
1329.5553, 1.0004243, 1.0001564,
1329.5567, 1.0003090, 1.0000414,
1329.5580, 1.0000334, 0.99976605,
1329.5594, 1.0004720, 1.0002049,
1329.5608, 1.0000056, 0.99973889,
1329.5622, 1.0003225, 1.0000561,
1329.5636, 0.99993076, 0.99966465,
1329.5650, 1.0002926, 1.0000267,
1329.5664, 1.0001965, 0.99993087,
1329.5678, 1.0003077, 1.0000425,
1329.5692, 1.0004054, 1.0001401,
1329.5705, 1.0003196, 1.0000549,
1329.5719, 1.0003633, 1.0000990,
1329.5733, 1.0001389, 0.99987489,
1329.5747, 1.0002897, 1.0000258,
1329.5761, 1.0001690, 0.99990543,
1329.5775, 1.0003238, 1.0000606,
1329.5789, 1.0003240, 1.0000610,
1329.5803, 1.0003922, 1.0001296,
1329.5817, 1.0002843, 1.0000219,
1329.5830, 1.0004177, 1.0001556,
1329.5844, 1.0003663, 1.0001046,
1329.5858, 1.0002333, 0.99997201,
1329.5872, 1.0003194, 1.0000583,
1329.5886, 1.0001950, 0.99993423,
1329.5900, 1.0002676, 1.0000070,
1329.5914, 1.0000403, 0.99978028,
1329.5928, 1.0001549, 0.99989505,
1329.5942, 0.99997623, 0.99971679,
1329.5955, 1.0004970, 1.0002379,
1329.5969, 1.0000021, 0.99974329,
1329.5983, 1.0004203, 1.0001617,
1329.5997, 1.0002366, 0.99997826,
